SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED
768,Harlem,NB,Diversey,Belmont,0.5,N,,-87.80628551,41.93081218,-87.80654434,41.93798727,-1,40:21.0
304,Irving Park,WB,Austin,Narragansett,0.5,W,,-87.77677361,41.95319335,-87.78655834,41.95305371,-1,40:13.0
1018,Touhy,WB,California,Kedzie,0.47,W,,-87.6997439,42.01225079,-87.70905405,42.01199406,25,40:21.0
1257,Halsted,SB,Madison,Harrison,0.52,N,,-87.647551,41.881776,-87.647315,41.874338,13,40:28.0
466,95th,WB,Halsted,Racine,0.5,W,,-87.64322183,41.72159548,-87.65294234,41.72142662,27,40:18.0
600,Lake Shore Dr,NW,Montrose,Lawrence,0.52,N,,-87.64607823,41.96200602,-87.64778521,41.9694038,-1,40:10.0
587,Lake Shore Dr,NE,Monroe,Randolph,0.3,N,,-87.61730448,41.88091652,-87.61386137,41.88438769,43,40:10.0
48,Pulaski,NB,North Ave,Armitage,0.5,N,,-87.72614702,41.90988572,-87.72644421,41.91716519,27,40:05.0
1178,57th,EB,Stony Island,Lake Shore Dr,0.3745,E,,-87.58389078,41.79250567,-87.58030282,41.79228062,-1,40:29.0
1101,Cermak,EB,Cicero,City Boundary,0.246436742,W,Outside City Limits,-87.74426891,41.85120592,-87.73949333,41.85124171,23,40:26.0
70,Pulaski,SB,59th,63rd,0.5,S,,-87.72321144,41.7859395,-87.72301001,41.77866116,28,40:05.0
752,Ewing,NB,Indianapolis,96th,0.59,S,,-87.53509242,41.71281167,-87.535052,41.72132611,-1,40:21.0
707,Dr Martin L King Jr,SB,71st,75th,0.5,S,,-87.61548104,41.76571485,-87.6152627,41.75840522,26,40:17.0
572,Cicero,NB,Roosevelt,Harrison,0.5,S,,-87.7445767,41.8659069,-87.74480742,41.87313826,23,40:13.0
784,Peterson,WB,Kostner,Cicero,0.51,W,,-87.73838398,41.99014783,-87.74832465,41.99003672,20,40:22.0
876,LaSalle,EB,Clark,Stockton,0.08,W,,-87.63293129,41.91290954,-87.63154404,41.91325099,-1,40:24.0
771,Harlem,NB,Gunnison,Foster,0.5,N,,-87.80694983,41.96825962,-87.80683435,41.97546645,24,40:15.0
1271,Madison,WB,Halsted,Racine,0.5,W,,-87.647361,41.881876,-87.657142,41.881715,20,40:20.0
1102,Cermak,WB,Ridgeland,Harlem,1.039419494,W,Outside City Limits,-87.78347834,41.85100241,-87.80361105,41.8505125,26,40:26.0
860,Higgins,NW,Milwaukee,Central,0.33,W,,-87.76147677,41.96885181,-87.76756092,41.97047094,25,40:24.0
262,87th,EB,Cottage Grove,Stony Island,1,E,,-87.60482438,41.7365122,-87.58563818,41.73677626,20,40:14.0
1223,Halsted,NB,Grand,Chicago,0.35,N,,-87.647427,41.891185,-87.647555,41.896397,21,40:27.0
1082,130th,EB,Indiana,I-94 Expy,1.535623684,E,Outside City Limits,-87.61845493,41.65897022,-87.58880587,41.65981881,33,40:26.0
112,Ashland,NB,35th,Archer,0.5,S,,-87.6653848,41.83050029,-87.66555814,41.83768279,-1,40:06.0
974,Pershing,WB,Damen,Western,0.5,W,,-87.67507424,41.82324972,-87.6849,41.82317531,-1,40:29.0
193,North,EB,Ashland,Elston,0.28,W,,-87.66769305,41.91049309,-87.66216249,41.91056893,17,40:03.0
51,Pulaski,NB,Diversey,Milwaukee,0.65,N,,-87.72679496,41.93178939,-87.72715168,41.94116684,24,40:05.0
713,Dr Martin L King Jr,SB,47th,51st,0.5,S,,-87.61676108,41.80938717,-87.61634162,41.80211191,-1,40:17.0
38,Pulaski,NB,26th,Cermak,0.5,S,,-87.72436976,41.84425419,-87.72464421,41.85154559,-1,40:05.0
278,87th,WB,Chicago Skyway,Stony Island,0.87,E,,-87.56886989,41.73729072,-87.58563499,41.73705067,27,40:15.0
386,Western,SB,Archer,Pershing,0.2,S,Western Blvd Run Parallel on the East Side,-87.68508598,41.82593896,-87.6850602,41.82299707,22,40:09.0
593,Lake Shore Dr,NW,Division,North Ave,0.51,N,,-87.62428733,41.90399607,-87.62578106,41.91133018,45,40:10.0
552,Cermak,WB,Western,California,0.5,W,,-87.68564473,41.85220715,-87.69543129,41.85201477,-1,40:12.0
